exporter,importer,year,commodity,trade_quantity
Argentina,Lebanon,2019,Sunflower seed,256.13
Argentina,Liberia,2019,Maize (corn),855.0
Argentina,Libya,2019,Maize (corn),1295.12
Argentina,Libya,2019,Sunflower seed,1004.44
Argentina,Lithuania,2019,Maize (corn),116.04499999999999
Argentina,Macao,2019,Soya beans,8.72
Argentina,Madagascar,2019,Wheat,26850.0
Argentina,Malawi,2019,Wheat,1500.24
Argentina,Malaysia,2019,Maize (corn),2272896.375
Argentina,Malaysia,2019,Soya beans,10952.0
Argentina,Malaysia,2019,Sunflower seed,43.5
Argentina,Malaysia,2019,Wheat,31934.0
Argentina,Mali,2019,Maize (corn),562.295
Argentina,Mali,2019,Wheat,57432.76
Argentina,Mauritania,2019,Maize (corn),3242.75
Argentina,Mauritania,2019,Wheat,32630.0
Argentina,Mauritius,2019,Maize (corn),104192.0
Argentina,Mauritius,2019,Sunflower seed,42.65
Argentina,Mexico,2019,Maize (corn),5092.35
Argentina,Mexico,2019,Sunflower seed,10787.400000000001
Argentina,Montenegro,2019,Maize (corn),249.96
Argentina,Morocco,2019,Maize (corn),1515925.0
Argentina,Morocco,2019,Soya beans,11000.0
Argentina,Morocco,2019,Sunflower seed,794.47
Argentina,Morocco,2019,Wheat,189875.0
Argentina,Mozambique,2019,Wheat,44478.0
Argentina,Myanmar,2019,Sunflower seed,18.62
Argentina,Namibia,2019,Wheat,4912.52
Argentina,Nepal,2019,Maize (corn),4141.46
Argentina,Netherlands (Kingdom of the),2019,Maize (corn),40854.42
Argentina,Netherlands (Kingdom of the),2019,Soya beans,1.27
Argentina,Netherlands (Kingdom of the),2019,Sunflower seed,99.18
Argentina,Netherlands (Kingdom of the),2019,Wheat,2315.9
Argentina,New Zealand,2019,Maize (corn),25.0
Argentina,New Zealand,2019,Sunflower seed,159.24
Argentina,New Zealand,2019,Wheat,14425.5
Argentina,Nicaragua,2019,Maize (corn),411.455
Argentina,Nicaragua,2019,Sunflower seed,111.915
Argentina,Niger,2019,Maize (corn),631.55
